,Departure_Time,Arrival_Time,Airline,Duration,Route,Stops,Layover_Time_Location,CO2_Emissions,Emissions_Change,Price,Class
0,11:20 AM, 3:45 PM,IndiGo,4 hr 25 min,BOM–BLR,1 stop,1 hr 55 min GOI,92 kg CO2e,+33% emissions,"₹4,383",economy
1,4:40 PM, 10:15 PM,IndiGo,5 hr 35 min,BOM–BLR,1 stop,2 hr 50 min GOI,104 kg CO2e,+51% emissions,"₹4,383",economy
2,5:45 AM, 10:55 AM,IndiGo,5 hr 10 min,BOM–BLR,1 stop,2 hr 15 min HYD,106 kg CO2e,+54% emissions,"₹4,514",economy
3,9:15 AM, 1:35 PM,IndiGo,4 hr 20 min,BOM–BLR,1 stop,1 hr 45 min GOX,95 kg CO2e,+38% emissions,"₹4,514",economy
4,3:15 PM, 7:05 PM,IndiGo,3 hr 50 min,BOM–BLR,1 stop,1 hr HYD,106 kg CO2e,+54% emissions,"₹4,514",economy
5,6:50 PM, 10:50 PM,IndiGo,4 hr,BLR–BOM,1 stop,1 hr 10 min IXE,110 kg CO2e,+59% emissions,"₹5,906",economy
6,4:40 PM, 9:20 PM,IndiGo,4 hr 40 min,BOM–MAA,1 stop,1 hr 40 min GOI,119 kg CO2e,+47% emissions,"₹5,485",economy
7,3:15 PM, 7:10 PM,IndiGo,3 hr 55 min,BOM–MAA,1 stop,1 hr 10 min HYD,109 kg CO2e,+35% emissions,"₹5,616",economy
8,3:45 PM, 9:00 PM,IndiGo,5 hr 15 min,BOM–MAA,1 stop,2 hr 15 min CJB,119 kg CO2e,+47% emissions,"₹5,695",economy
9,6:35 PM, 11:10 PM,IndiGo,4 hr 35 min,BOM–MAA,1 stop,1 hr 10 min IDR,149 kg CO2e,+84% emissions,"₹5,826",economy
10,10:55 AM, 2:50 PM,IndiGo,3 hr 55 min,MAA–BOM,1 stop,1 hr BLR,106 kg CO2e,+33% emissions,"₹5,522",economy
11,8:55 AM, 1:20 PM,IndiGo,4 hr 25 min,MAA–BOM,1 stop,1 hr 25 min BLR,106 kg CO2e,+33% emissions,"₹5,522",economy
12,2:35 PM, 7:05 PM,IndiGo,4 hr 30 min,MAA–BOM,1 stop,1 hr 35 min BLR,108 kg CO2e,+35% emissions,"₹5,522",economy
13,8:00 AM, 12:50 PM,IndiGo,4 hr 50 min,MAA–BOM,1 stop,1 hr 35 min COK,134 kg CO2e,+68% emissions,"₹5,864",economy
14,5:45 AM, 10:25 AM,IndiGo,4 hr 40 min,BOM–DEL,1 stop,1 hr 50 min BDQ,112 kg CO2e,+10% emissions,"₹6,339",economy
