,Departure_Time,Arrival_Time,Airline,Duration,Route,Stops,Layover_Time_Location,CO2_Emissions,Emissions_Change,Price,Class
0,8:00 AM, 2:50 PM,IndiGo,6 hr 50 min,NMI–BLR,1 stop,3 hr 50 min KLH,88 kg CO2e,+28% emissions,"₹6,073",economy
1,11:05 AM, 8:55 PM,IndiGo,9 hr 50 min,NMI–BLR,1 stop,6 hr 50 min GOI,92 kg CO2e,+33% emissions,"₹6,937",economy
2,11:05 AM, 3:45 PM,IndiGo,4 hr 40 min,NMI–BLR,1 stop,1 hr 50 min GOI,92 kg CO2e,+33% emissions,"₹8,086",economy
17,7:15 PM, 11:00 PM,IndiGo,3 hr 45 min,BLR–NMI,1 stop,1 hr 20 min GOI,91 kg CO2e,+32% emissions,"₹6,005",economy
18,5:40 PM, 11:00 PM,IndiGo,5 hr 20 min,BLR–NMI,1 stop,2 hr 50 min GOI,91 kg CO2e,+32% emissions,"₹6,005",economy
19,3:15 PM, 11:00 PM,IndiGo,7 hr 45 min,BLR–NMI,1 stop,5 hr 10 min GOI,91 kg CO2e,+32% emissions,"₹9,090",economy
20,12:35 PM, 6:55 PM,IndiGo,6 hr 20 min,BLR–NMI,1 stop,3 hr 35 min GOI,92 kg CO2e,+33% emissions,"₹10,885",economy
21,12:35 PM, 11:00 PM,IndiGo,10 hr 25 min,BLR–NMI,1 stop,7 hr 55 min GOI,91 kg CO2e,+32% emissions,"₹10,885",economy
39,2:45 PM, 7:10 PM,IndiGo,4 hr 25 min,NMI–MAA,1 stop,1 hr 55 min HYD,109 kg CO2e,+35% emissions,"₹6,514",economy
40,11:25 AM, 9:25 PM,IndiGo,10 hr,NMI–MAA,1 stop,7 hr 10 min BLR,110 kg CO2e,+36% emissions,"₹5,958",economy
41,11:25 AM, 6:10 PM,IndiGo,6 hr 45 min,NMI–MAA,1 stop,4 hr 5 min BLR,107 kg CO2e,+32% emissions,"₹7,627",economy
43,7:05 AM, 10:55 AM,IndiGo,3 hr 50 min,MAA–NMI,1 stop,1 hr 15 min BLR,111 kg CO2e,+39% emissions,"₹5,752",economy
44,4:10 PM, 10:35 PM,IndiGo,6 hr 25 min,MAA–NMI,1 stop,3 hr 40 min HYD,113 kg CO2e,+41% emissions,"₹8,239",economy
45,12:00 PM, 6:10 PM,IndiGo,6 hr 10 min,MAA–NMI,1 stop,3 hr 25 min HYD,113 kg CO2e,+41% emissions,"₹8,614",economy
46,10:55 AM, 4:40 PM,IndiGo,5 hr 45 min,MAA–NMI,1 stop,3 hr BLR,107 kg CO2e,+34% emissions,"₹8,885",economy
48,4:20 PM, 10:15 PM,IndiGo,5 hr 55 min,NMI–DEL,1 stop,3 hr 20 min BDQ,112 kg CO2e,+10% emissions,"₹6,811",economy
